#{"t_start": 1781113351.5034025, "env_id": "None"}
r,l,t
121.545919,54,193.211297
111.762288,52,193.404553
163.169781,63,193.640723
94.383901,48,193.818243
109.795043,52,194.008972
106.118903,50,194.197237
129.463558,55,194.4015
149.820133,60,194.626699
141.26674,57,194.835457
191.980788,71,195.0908
250.948899,85,195.420157
116.96254,52,195.612504
209.356642,75,195.911489
150.395324,61,196.137138
117.516628,53,196.32858
126.232954,55,196.532448
132.172763,56,196.741961
123.424389,54,196.936428
191.942934,70,197.194375
145.042407,59,197.412331
220.232191,76,197.684682
156.553574,61,197.905483
105.946678,50,198.086834
117.97839,53,198.280318
188.885345,70,198.535086
93.094185,47,198.701493
208.422181,74,198.974289
90.539054,47,199.139742
126.679594,56,199.346511
106.367353,51,199.535376
174.227593,66,199.775374
127.351737,55,199.97555
268.834895,89,200.772649
154.314603,61,201.00363
93.279503,48,201.183787
200.961205,72,201.445917
206.855256,73,201.711718
160.277683,62,201.937153
122.010942,54,202.13558
255.197714,86,202.45637
116.165547,52,202.650277
233.879233,80,202.943339
168.898472,65,203.177035
113.278117,51,203.367065
92.493732,48,203.542545
228.572688,78,203.829528
161.287278,62,204.054377
125.243844,56,204.257713
145.398027,59,204.47779
90.856254,48,204.654766
103.625113,49,204.831346
122.545314,54,205.027896
103.503354,50,205.211979
118.77996,53,205.40378
103.935331,49,205.586235
190.305496,70,205.843452
154.232702,61,206.065523
183.576466,68,206.313627
214.322768,75,206.586674
114.863484,52,206.777384
130.5544,57,206.987284
137.104564,57,207.191441
270.217821,90,207.521529
271.409182,89,207.843089
158.985297,61,208.063782
125.717835,53,208.735679
108.670482,51,208.936063
147.377844,61,209.16709
104.878184,50,209.349979
152.251256,61,209.57828
132.5269,56,209.783772
116.672282,53,209.976529
300.202855,96,210.324792
118.796852,53,210.523164
100.340394,49,210.702009
121.521455,54,210.899816
160.758556,62,211.126127
137.865321,58,211.334348
133.335589,57,211.544013
189.00105,71,211.804613
147.389837,60,212.023453
122.551782,55,212.224156
98.448425,47,212.394442
117.517638,53,212.589701
169.129732,65,212.828629
165.293015,64,213.058707
158.368106,62,213.280155
126.953378,54,213.479383
133.814421,56,213.684391
171.215523,66,213.926528
104.964633,49,214.107772
113.971831,51,214.291457
105.224906,50,214.47331
203.496243,73,214.753083
99.119217,49,214.929061
119.823236,54,215.127914
132.89477,57,215.334573
200.848968,73,215.603534
176.744393,66,215.851199
156.211724,63,216.49405
124.669985,54,216.762677
116.206343,53,216.960817
125.21971,55,217.173037
164.554214,63,217.407177
119.396925,54,217.611783
99.644601,49,217.792949
122.322096,54,217.988415
129.664358,55,218.189701
127.416616,55,218.390045
102.589973,50,218.57561
108.789153,51,218.763482
152.67326,60,218.983074
150.501029,60,219.199213
117.470543,54,219.395436
119.661741,53,219.597276
144.546249,60,219.814687
168.616652,65,220.055024
147.745595,59,220.267036
168.305717,65,220.502624
142.999672,59,220.724499
129.795407,55,220.925217
141.343753,58,221.133107
103.831437,50,221.313566
108.930862,51,221.497095
155.853744,62,221.726985
146.176702,59,221.945203
105.655488,50,222.124731
318.997158,100,222.487401
139.823544,58,222.706283
153.188479,61,222.926598
137.339936,56,223.13244
89.526507,47,223.306293
151.362097,59,223.519971
168.362985,64,223.760396
296.173986,94,224.483947
125.195952,54,224.7489
215.038194,75,225.035264
137.558697,57,225.247003
169.263079,65,225.496928
147.563889,59,225.722854
146.966663,59,225.941852
194.060271,70,226.198711
134.450193,57,226.40258
116.085436,53,226.596334
94.405853,47,226.774622
139.845864,58,226.985966
123.739655,55,227.186478
172.689072,65,227.42366
121.297441,52,227.606898
92.832948,48,227.790751
103.197121,49,227.971545
123.530663,54,228.165869
155.350348,61,228.390409
126.986539,54,228.585378
109.662088,52,228.780989
95.72095,47,228.95302
105.142432,50,229.13075
120.678795,54,229.326215
147.549446,61,229.553433
208.883044,73,229.830149
114.250365,52,230.015938
143.402829,59,230.232846
179.571008,67,230.473641
107.452114,50,230.655205
172.244772,66,230.901786
241.838181,84,231.209815
153.967505,61,231.430567
195.875219,72,231.698236
264.956183,86,232.010286
105.694043,51,232.621988
143.050583,59,232.857287
123.935326,54,233.060194
149.469055,60,233.282032
231.485307,79,233.570263
148.549113,59,233.812989
88.078097,46,234.023786
84.639773,46,234.226551
151.314673,60,234.493397
176.998122,65,234.777431
151.670877,60,235.034793
94.145003,48,235.230873
141.34552,58,235.453172
191.658124,70,235.724013
127.494237,56,235.933366
150.245383,61,236.1726
147.687376,58,236.386226
141.286154,58,236.608996
138.937778,58,236.836848
142.955722,59,237.060752
149.526455,60,237.284952
85.820585,46,237.467566
145.885648,58,237.689785
197.691024,71,237.963733
135.812434,57,238.171041
100.083546,49,238.349588
110.596495,52,238.535791
102.885068,49,238.723174
208.480456,75,239.002348
116.109858,52,239.191401
173.024804,66,239.436334
113.19411,52,239.626907
165.189309,63,239.86514
205.456416,73,240.130647
124.766821,54,240.329206
169.973164,66,241.103615
132.175028,57,241.326499
182.724954,68,241.573804
135.420869,57,241.784458
148.402241,60,242.002577
198.148842,73,242.272326
136.450792,57,242.480781
93.007795,46,242.643787
147.39582,60,242.867239
119.217707,54,243.066752
120.114719,53,243.261278
155.078742,63,243.492023
170.673336,65,243.731756
102.669589,50,243.917377
135.856454,58,244.134015
109.187685,52,244.324673
122.843395,54,244.518312
119.218922,53,244.722611
153.197315,61,244.977712
262.522681,85,245.287185
133.13192,56,245.488227
145.300701,59,245.702472
219.457861,77,245.993405
150.02772,60,246.218424
128.846912,55,246.423852
125.362574,53,246.614936
136.515037,56,246.819472
165.116758,63,247.049679
422.395347,124,247.496068
102.099356,50,247.680688
167.935273,64,247.918511
153.534548,61,248.145139
158.766945,62,248.372818
197.298692,71,249.086078
169.004342,64,249.334744
101.086758,49,249.518792
228.235991,78,249.816321
105.15681,50,250.001386
157.95011,61,250.227819
132.76636,56,250.436241
98.36919,49,250.61739
180.472981,68,250.868669
131.114535,56,251.078241
125.015389,55,251.284284
213.583955,76,251.56423
119.393334,53,251.761603
289.282408,92,252.106992
134.313694,57,252.319667
154.643761,61,252.539508
152.44134,61,252.76497
113.010261,52,252.955714
132.23829,57,253.165404
94.031937,46,253.333863
140.601568,58,253.546816
212.932246,74,253.815913
144.660595,59,254.032795
161.200655,63,254.263455
126.316621,55,254.465874
170.343537,65,254.707334
291.693095,93,255.047699
136.130364,57,255.260435
143.165906,58,255.47264
163.123936,64,255.723695
152.236096,61,255.956455
288.501686,93,256.298906
171.477316,66,256.54186
198.19272,72,257.241801
144.969446,60,257.468488
132.244305,57,257.685179
174.189095,65,257.929986
127.36704,56,258.133799
172.267487,65,258.373211
165.959462,63,258.605416
134.861877,56,258.80888
312.228185,97,259.165127
234.182196,79,259.458519
101.867291,49,259.639081
176.396538,67,259.891862
156.894542,62,260.118146
165.964703,63,260.350894
112.174405,51,260.539179
111.392233,52,260.727515
192.694386,70,260.990945
222.507287,78,261.275116
132.737393,56,261.482201
176.188898,65,261.716074
119.571753,52,261.909864
148.069536,59,262.124345
122.255051,53,262.320121
249.100624,83,262.623832
154.155004,61,262.848472
125.392928,54,263.048463
226.988875,78,263.338486
131.308645,55,263.538246
197.424821,71,263.798684
212.542898,76,264.08481
184.756485,68,264.339701
137.888851,58,264.552358
152.157119,60,265.239291
159.088492,62,265.480067
141.881346,59,265.701494
144.660538,59,265.928162
186.344316,68,266.176104
229.678661,80,266.475493
114.988466,52,266.667209
148.514219,60,266.887976
127.436052,55,267.095243
181.982094,67,267.343499
92.856366,47,267.516814
121.417921,53,267.70917
102.225965,49,267.890055
154.499042,62,268.122299
121.514849,54,268.322752
112.167015,52,268.517225
208.515014,74,268.796016
156.231752,61,269.026271
252.89635,85,269.338268
144.500673,58,269.559881
133.337159,56,269.763017
190.135462,70,270.025083
213.421828,75,270.304496
128.500392,55,270.52385
168.257286,63,270.761567
143.23168,59,270.989572
107.304841,50,271.168725
149.645266,60,271.398228
90.58322,47,271.570646
260.891657,87,271.892414
123.813294,54,272.097456
85.035961,45,272.270192
162.627221,63,272.501639
142.85711,58,273.115286
194.47842,70,273.426049
126.943436,54,273.635043
146.860209,61,273.864032
162.101548,63,274.11043
126.612371,54,274.309368
143.467653,59,274.52833
117.9966,52,274.718014
124.121174,54,274.914117
289.599456,93,275.264841
149.584034,61,275.490712
143.275111,58,275.702192
207.926605,74,275.973221
122.747413,54,276.172439
212.242128,76,276.451983
137.18742,57,276.664505
135.885866,58,276.876579
136.217368,57,277.092133
157.749121,62,277.319777
245.189788,83,277.626913
99.261923,49,277.809167
322.917119,100,278.182692
94.76688,48,278.35736
81.53841,44,278.518829
104.542562,51,278.707011
113.510723,52,278.89769
152.989026,61,279.131623
167.547793,64,279.376933
172.83361,66,279.624296
116.88368,53,279.817408
121.363465,55,280.01908
122.406675,55,280.223127
133.234466,56,280.434375
231.988759,79,280.726926
111.70836,51,281.367108
184.540603,68,281.633371
126.102541,55,281.843482
199.331163,71,282.116146
139.029457,57,282.319354
151.628183,60,282.539717
117.342475,53,282.734714
105.385149,50,282.917929
121.012233,54,283.124962
116.688547,53,283.324988
94.313752,48,283.530538
116.73761,52,283.756312
122.842435,55,283.992499
126.98628,55,284.218239
175.979169,66,284.485816
116.044788,52,284.686882
134.050291,57,284.899047
151.476356,61,285.130074
155.831385,62,285.364885
156.899803,63,285.595111
106.564514,51,285.801579
101.18172,48,285.997078
131.810976,56,286.20922
256.533416,84,286.523572
123.808833,53,286.721339
126.075773,54,286.918818
160.244822,62,287.150086
140.945569,58,287.359028
100.547893,49,287.537559
157.453898,62,287.770756
179.949572,68,288.020382
170.974447,65,288.264304
177.266926,66,288.511331
150.60281,61,288.737965
167.322865,65,288.974765
151.121282,61,289.70571
126.338915,54,289.914741
126.208375,55,290.130883
172.667996,66,290.38148
89.534456,46,290.553812
125.190763,54,290.753989
129.079503,56,290.962693
110.582207,52,291.152795
170.560932,66,291.399452
125.546689,54,291.598729
93.680267,47,291.770601
137.768667,57,291.97572
169.938814,65,292.218313
176.397542,66,292.458345
234.886866,79,292.749831
100.102125,48,292.925466
149.354663,60,293.145087
103.090728,49,293.326585
107.722456,51,293.519824
129.200388,56,293.727342
110.683983,50,293.917491
190.126018,70,294.179952
106.818114,51,294.39462
101.213912,49,294.576323
113.451416,52,294.764134
369.194729,110,295.178588
131.348213,55,295.383209
146.139551,59,295.600018
87.440128,46,295.770963
90.182159,48,295.949049
122.330875,54,296.151666
158.146173,63,296.383647
219.055271,76,296.67163
116.601527,53,296.87508
108.116129,50,297.057844
141.481823,58,297.738755
183.049145,69,298.021485
209.173513,74,298.305818
262.091088,87,298.630261
128.767691,57,298.844318
159.041306,61,299.075915
134.681292,57,299.29733
163.274655,63,299.529135
237.478721,81,299.829754
182.196922,67,300.077085
274.088735,91,300.422243
205.330341,72,300.694379
182.143466,68,300.954131
144.340137,59,301.174009
231.053635,79,301.468433
133.508488,57,301.672889
271.453024,87,301.998918
152.393925,61,302.232043
95.043062,47,302.406829
167.205398,64,302.643154
131.907926,56,302.849453
113.212933,52,303.042912
243.004812,82,303.351204
145.319281,60,303.576015
108.303486,51,303.765126
102.938924,49,303.950232
135.596213,57,304.169465
165.062062,65,304.410738
107.993075,51,304.60584
140.283178,58,304.819206
89.986786,46,304.983773
174.593598,66,305.234201
145.212541,59,305.889548
193.245139,71,306.168674
163.280047,63,306.417393
174.888248,65,306.658437
125.435945,55,306.865425
177.052713,66,307.110096
79.820549,44,307.27536
125.828542,55,307.484953
132.455029,56,307.693186
184.437623,68,307.941415
171.251218,65,308.192382
146.816671,60,308.414727
198.944453,71,308.674935
129.083957,56,308.877443
125.477607,56,309.08441
155.432957,62,309.323925
95.75257,48,309.505201
148.892928,60,309.728333
139.952194,58,309.943531
232.602305,81,310.247619
110.550215,52,310.43952
137.038207,58,310.651632
150.415759,61,310.875862
214.5385,76,311.159182
132.44393,57,311.373169
94.067702,48,311.554199
250.525069,82,311.859506
161.351352,63,312.087002
241.55364,81,312.387381
188.967754,69,312.642554
118.255535,53,312.83848
170.384462,66,313.088251
334.902836,105,313.910839
140.988835,58,314.179352
114.93312,51,314.384299
131.981156,57,314.60469
192.419092,69,314.863743
120.060296,54,315.063379
137.96018,57,315.275865
191.169594,70,315.534248
353.330065,109,315.95662
156.499501,61,316.18555
146.268936,60,316.413934
104.978866,49,316.598952
318.075052,101,316.97015
203.113179,74,317.259676
142.608169,60,317.488454
346.34565,104,317.87613
150.147938,61,318.107711
139.183827,57,318.322108
121.149087,55,318.528084
139.109446,57,318.738297
117.499594,53,318.935797
196.392487,71,319.198416
128.500211,56,319.405827
428.131428,124,319.870057
179.028027,67,320.119145
113.996326,52,320.316907
143.785795,60,320.536345
117.163221,53,320.736066
189.460136,69,320.987943
116.973146,52,321.177389
162.847091,63,321.421299
160.340681,62,322.054437
102.810203,50,322.293741
147.981296,60,322.527606
91.132043,46,322.706521
149.406,60,322.933052
126.388049,56,323.137726
256.639558,85,323.457549
186.529626,68,323.70701
129.991066,55,323.907406
109.861765,51,324.091866
110.594851,51,324.290918
167.188274,63,324.526712
105.874862,50,324.711705
150.30707,60,324.93052
197.349813,72,325.196685
117.725664,53,325.39762
198.158837,71,325.658031
110.658933,51,325.844234
